,birthyear,author,title,pub_year
0,1832.0,Lewis Carroll,Alice's Adventures in Wonderland,1865.0
1,1832.0,Lewis Carroll,Through the Looking-Glass,1871.0
2,1819.0,Herman Melville,Moby-Dick,1851.0
3,1860.0,J. M. Barrie,Peter Pan,1911.0
4,1840.0,Thomas Hardy,Far from the Madding Crowd,1874.0
5,1860.0,Charlotte Perkins Gilman,Herland,1915.0
6,1804.0,Nathaniel Hawthorne,The Scarlet Letter,1850.0
7,1866.0,H. G. Wells,The Time Machine,1895.0
8,1866.0,H. G. Wells,The War of the Worlds,1897.0
9,1783.0,Washington Irving,The Legend of Sleepy Hollow,1864.0
10,1850.0,Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde,
11,1850.0,Robert Louis Stevenson,The Strange Case of Dr. Jekyll and Mr. Hyde,
12,1874.0,Lucy Maud Montgomery,Anne of Green Gables,1908.0
13,,Charles Dickens,A Christmas Carol in Prose; Being a Ghost Story of Christmas,
14,1874.0,Lucy Maud Montgomery,Anne of Avonlea,1909.0
15,1874.0,Lucy Maud Montgomery,Anne of the Island,1915.0
16,1856.0,L. Frank Baum,The Marvelous Land of Oz,1904.0
17,1856.0,L. Frank Baum,The Wonderful Wizard of Oz,1900.0
18,1875.0,Edgar Rice Burroughs,A Princess of Mars,1912.0
19,1875.0,Edgar Rice Burroughs,The Gods of Mars,1918.0
20,1875.0,Edgar Rice Burroughs,The warlord of Mars,
21,1875.0,Edgar Rice Burroughs,"Thuvia, Maid of Mars",1920.0
22,1871.0,Stephen Crane,The Red Badge of Courage: An Episode of the American Civil War,
23,1835.0,Mark Twain,The Adventures of Tom Sawyer,1876.0
24,,Mark Twain,Adventures of Huckleberry Finn,1884.0
25,1804.0,Nathaniel Hawthorne,The House of the Seven Gables,1851.0
26,1875.0,Edgar Rice Burroughs,Tarzan of the Apes,1912.0
27,1875.0,Edgar Rice Burroughs,The Return of Tarzan,1915.0
28,1771.0,Walter Scott,Ivanhoe: A Romance,
29,1828.0,Jules Verne,"From the Earth to the Moon; and, Round the Moon",
30,1797.0,Mary Wollstonecraft Shelley,Frankenstein,
31,1875.0,Edgar Rice Burroughs,The Beasts of Tarzan,1914.0
32,1835.0,Mark Twain,A Connecticut Yankee in King Arthur's Court,1889.0
33,1875.0,Edgar Rice Burroughs,The Son of Tarzan,1915.0
34,1835.0,Mark Twain,Tom Sawyer Abroad,1894.0
35,1875.0,Edgar Rice Burroughs,Tarzan and the Jewels of Opar,1916.0
36,1835.0,Mark Twain,"Tom Sawyer, Detective",1896.0
37,1873.0,Willa Cather,Alexander's Bridge,1912.0
38,1863.0,Anthony Hope,The Prisoner of Zenda,1894.0
39,1875.0,Edgar Rice Burroughs,The Monster Men,1929.0
40,1838.0,Edwin Abbott Abbott,Flatland: A Romance of Many Dimensions,
41,1835.0,Mark Twain,The Tragedy of Pudd'nhead Wilson,
42,1828.0,Jules Verne,Around the World in Eighty Days,1872.0
43,1775.0,Jane Austen,Persuasion,1817.0
44,1875.0,Edgar Rice Burroughs,Jungle Tales of Tarzan,1919.0
45,1840.0,Thomas Hardy,Far from the Madding Crowd,1874.0
46,1859.0,Arthur Conan Doyle,The Return of Sherlock Holmes,1905.0
47,1840.0,Thomas Hardy,Tess of the d'Urbervilles: A Pure Woman,
48,1863.0,Gene Stratton-Porter,Freckles,1904.0
49,1835.0,Mark Twain,A Tramp Abroad,1880.0
50,,Robert Louis Stevenson,Treasure Island,1883.0
51,1775.0,Jane Austen,Northanger Abbey,1818.0
52,1840.0,Thomas Hardy,The Return of the Native,1878.0
53,1875.0,Edgar Rice Burroughs,At the Earth's Core,1914.0
54,1863.0,Gene Stratton-Porter,A Girl of the Limberlost,
55,1859.0,Arthur Conan Doyle,The Poison Belt,1913.0
56,1628.0,John Bunyan,"The Pilgrim's Progress from this world to that which is to come
Delivered under the similitude of a dream, by John Bunyan",
57,1856.0,Harold Frederic,The Damnation of Theron Ware,1896.0
58,1759.0,Mary Wollstonecraft,Maria,
59,1859.0,Arthur Conan Doyle,The Lost World,1912.0
60,1878.0,Upton Sinclair,The Jungle,1905.0
61,1775.0,Jane Austen,Mansfield Park,1814.0
62,1835.0,Mark Twain,"The $30,000 Bequest, and Other Stories",
63,1840.0,Thomas Hardy,The Mayor of Casterbridge,1886.0
64,1882.0,Virginia Woolf,The Voyage Out,1915.0
65,1819.0,George Eliot,Middlemarch,1871.0
66,1875.0,Edgar Rice Burroughs,The Lost Continent,
67,1840.0,Thomas Hardy,Jude the Obscure,1895.0
68,1837.0,William Dean Howells,The Rise of Silas Lapham,1885.0
69,1824.0,Wilkie Collins,The Moonstone,1868.0
70,1775.0,Jane Austen,Emma,1815.0
71,1866.0,H. G. Wells,The island of Doctor Moreau,
72,1850.0,Kate Chopin,"The Awakening, and Selected Short Stories",
73,1775.0,Jane Austen,Sense and Sensibility,1811.0
74,1832.0,Louisa May Alcott,Flower Fables,
75,1828.0,Jules Verne,Twenty Thousand Leagues under the Sea,
76,1870.0,Frank Norris,McTeague: A Story of San Francisco,
77,1862.0,Edith Wharton,Summer,1917.0
78,1834.0,William Morris,The Well at the World's End: A Tale,
79,1824.0,Wilkie Collins,The Haunted Hotel: A Mystery of Modern Venice,1879.0
80,1762.0,Mrs. Rowson,Charlotte Temple,
81,1890.0,Christopher Morley,The Haunted Bookshop,1919.0
82,1883.0,Sax Rohmer,The Insidious Dr. Fu Manchu,
83,1854.0,Oscar Wilde,The Picture of Dorian Gray,1890.0
84,1843.0,Henry James,Roderick Hudson,1875.0
85,1843.0,Henry James,Confidence,1879.0
86,1843.0,Henry James,The Europeans,1878.0
87,1838.0,Edwin Abbott Abbott,Flatland: A Romance of Many Dimensions,
88,1811.0,Harriet Beecher Stowe,Uncle Tom's Cabin,1852.0
89,1874.0,G. K. Chesterton,The Innocence of Father Brown,1911.0
90,1843.0,Henry James,Daisy Miller: A Study,
91,1843.0,Henry James,The Turn of the Screw,1898.0
92,1843.0,Henry James,An International Episode,1878.0
93,1843.0,Henry James,The Aspern Papers,1888.0
94,1876.0,Jack London,The Call of the Wild,1388.0
95,1885.0,D. H. Lawrence,Sons and Lovers,1913.0
96,1857.0,Joseph Conrad,Heart of Darkness,1899.0
97,1857.0,Joseph Conrad,The Secret Sharer,1912.0
98,1859.0,Arthur Conan Doyle,The Return of Sherlock Holmes,1905.0
99,1874.0,G. K. Chesterton,The Wisdom of Father Brown,1914.0
